instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-tiw56r72_150,2823758,2766211,2.41613,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r72_150,2823758,2698380,0.751764,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75eec_250,8893533,8699284,26.3389,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75eec_250,8893533,8532244,10.7763,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75np_250,17814072,17415199,24.9614,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75np_250,17814072,17132472,10.0107,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75oi_250,5910096,5783775,31.252,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75oi_250,5910096,5742733,13.1678,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75tot_250,30958609,30483770,26.835,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75tot_250,30958609,30167777,13.057,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu1_250,7742444,7594365,27.9049,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu1_250,7742444,7484342,12.8241,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu2_250,11500448,11172782,28.4712,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu2_250,11500448,11038691,13.1834,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu3_250,11900315,11647408,34.2267,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu3_250,11900315,11407269,11.746,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59b11xx_250,8411910,8199535,23.5613,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59b11xx_250,8411910,8095280,12.1615,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59d11xx_250,3841167,3752574,25.0367,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59d11xx_250,3841167,3716857,10.6305,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
