instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-t65f11xx_150,3159326,3061563,1.34145,vnd,first,['exchange'],random,
N-t65f11xx_150,3159326,3057837,0.993446,vnd,first,['exchange'],c_and_w,
N-t65f11xx_150,3159326,3058795,0.557064,vnd,first,['insert'],random,
N-t65f11xx_150,3159326,3042973,0.506968,vnd,first,['insert'],c_and_w,
N-t65f11xx_150,3159326,2231504,0.000211,vnd,best,['transpose'],random,
N-t65f11xx_150,3159326,2433795,0.000211,vnd,best,['transpose'],c_and_w,
N-t65f11xx_150,3159326,3018100,0.309497,vnd,best,['exchange'],random,
N-t65f11xx_150,3159326,3051208,0.220648,vnd,best,['exchange'],c_and_w,
N-t65f11xx_150,3159326,3041086,0.601106,vnd,best,['insert'],random,
N-t65f11xx_150,3159326,3037805,0.463854,vnd,best,['insert'],c_and_w,
N-t65l11xx_150,253396,134499,4.9e-05,vnd,first,['transpose'],random,
N-t65l11xx_150,253396,210214,2.3e-05,vnd,first,['transpose'],c_and_w,
N-t65l11xx_150,253396,250051,1.19601,vnd,first,['exchange'],random,
N-t65l11xx_150,253396,248636,0.705859,vnd,first,['exchange'],c_and_w,
N-t65l11xx_150,253396,245501,0.322981,vnd,first,['insert'],random,
N-t65l11xx_150,253396,243715,0.345915,vnd,first,['insert'],c_and_w,
N-t65l11xx_150,253396,134677,6.4e-05,vnd,best,['transpose'],random,
N-t65l11xx_150,253396,211115,8.4e-05,vnd,best,['transpose'],c_and_w,
N-t65l11xx_150,253396,247080,0.253295,vnd,best,['exchange'],random,
N-t65l11xx_150,253396,245311,0.299001,vnd,best,['exchange'],c_and_w,
N-t65l11xx_150,253396,244808,0.533462,vnd,best,['insert'],random,
N-t65l11xx_150,253396,246548,0.417966,vnd,best,['insert'],c_and_w,
N-t65n11xx_150,550733,342935,5.6e-05,vnd,first,['transpose'],random,
N-t65n11xx_150,550733,409192,4e-05,vnd,first,['transpose'],c_and_w,
N-t65n11xx_150,550733,535610,1.49605,vnd,first,['exchange'],random,
N-t65n11xx_150,550733,535644,0.822815,vnd,first,['exchange'],c_and_w,
N-t65n11xx_150,550733,527574,0.368302,vnd,first,['insert'],random,
N-t65n11xx_150,550733,523800,0.465895,vnd,first,['insert'],c_and_w,
N-t65n11xx_150,550733,346166,0.000178,vnd,best,['transpose'],random,
N-t65n11xx_150,550733,410273,0.000188,vnd,best,['transpose'],c_and_w,
N-t65n11xx_150,550733,531415,0.27739,vnd,best,['exchange'],random,
N-t65n11xx_150,550733,527299,0.198149,vnd,best,['exchange'],c_and_w,
N-t65n11xx_150,550733,532005,0.43197,vnd,best,['insert'],random,
N-t65n11xx_150,550733,535600,0.591279,vnd,best,['insert'],c_and_w,
N-t69r11xx_150,11855957,7678582,6.7e-05,vnd,first,['transpose'],random,
N-t69r11xx_150,11855957,8581999,5.4e-05,vnd,first,['transpose'],c_and_w,
N-t69r11xx_150,11855957,11426358,1.33282,vnd,first,['exchange'],random,
N-t69r11xx_150,11855957,11445851,1.06087,vnd,first,['exchange'],c_and_w,
N-t69r11xx_150,11855957,11280470,0.286824,vnd,first,['insert'],random,
N-t69r11xx_150,11855957,11345261,0.440558,vnd,first,['insert'],c_and_w,
N-t69r11xx_150,11855957,7609678,0.000162,vnd,best,['transpose'],random,
N-t69r11xx_150,11855957,8611044,0.000144,vnd,best,['transpose'],c_and_w,
N-t69r11xx_150,11855957,11418554,0.313939,vnd,best,['exchange'],random,
N-t69r11xx_150,11855957,11294737,0.304301,vnd,best,['exchange'],c_and_w,
N-t69r11xx_150,11855957,11470391,0.594615,vnd,best,['insert'],random,
N-t69r11xx_150,11855957,11447616,0.653864,vnd,best,['insert'],c_and_w,
N-t70b11xx_150,9647229,6205438,6.9e-05,vnd,first,['transpose'],random,
N-t70b11xx_150,9647229,7437513,5.9e-05,vnd,first,['transpose'],c_and_w,
N-t70b11xx_150,9647229,9387680,1.09547,vnd,first,['exchange'],random,
N-t70b11xx_150,9647229,9436946,1.54333,vnd,first,['exchange'],c_and_w,
N-t70b11xx_150,9647229,9134718,0.327511,vnd,first,['insert'],random,
N-t70b11xx_150,9647229,9230390,0.524134,vnd,first,['insert'],c_and_w,
N-t70b11xx_150,9647229,6161413,0.000167,vnd,best,['transpose'],random,
N-t70b11xx_150,9647229,7445482,0.00016,vnd,best,['transpose'],c_and_w,
N-t70b11xx_150,9647229,9287815,0.285007,vnd,best,['exchange'],random,
N-t70b11xx_150,9647229,9424838,0.166331,vnd,best,['exchange'],c_and_w,
N-t70b11xx_150,9647229,9335032,0.571302,vnd,best,['insert'],random,
N-t70b11xx_150,9647229,9393729,0.619423,vnd,best,['insert'],c_and_w,
N-t70d11xn_150,5825147,3608392,8.7e-05,vnd,first,['transpose'],random,
N-t70d11xn_150,5825147,4555030,7.6e-05,vnd,first,['transpose'],c_and_w,
N-t70d11xn_150,5825147,5632012,1.60351,vnd,first,['exchange'],random,
N-t70d11xn_150,5825147,5674569,1.38683,vnd,first,['exchange'],c_and_w,
N-t70d11xn_150,5825147,5591919,0.44826,vnd,first,['insert'],random,
N-t70d11xn_150,5825147,5643774,0.531984,vnd,first,['insert'],c_and_w,
N-t70d11xn_150,5825147,3608272,0.000236,vnd,best,['transpose'],random,
N-t70d11xn_150,5825147,4532338,0.0002,vnd,best,['transpose'],c_and_w,
N-t70d11xn_150,5825147,5581792,0.368511,vnd,best,['exchange'],random,
N-t70d11xn_150,5825147,5593165,0.265657,vnd,best,['exchange'],c_and_w,
N-t70d11xn_150,5825147,5629551,0.499619,vnd,best,['insert'],random,
N-t70d11xn_150,5825147,5676530,0.541519,vnd,best,['insert'],c_and_w,
N-t70d11xx_150,6174178,4283429,9.2e-05,vnd,first,['transpose'],random,
N-t70d11xx_150,6174178,4943317,9.1e-05,vnd,first,['transpose'],c_and_w,
N-t70d11xx_150,6174178,5968613,1.57568,vnd,first,['exchange'],random,
N-t70d11xx_150,6174178,6000014,1.26017,vnd,first,['exchange'],c_and_w,
N-t70d11xx_150,6174178,5937489,0.613999,vnd,first,['insert'],random,
N-t70d11xx_150,6174178,5841449,0.385293,vnd,first,['insert'],c_and_w,
N-t70d11xx_150,6174178,4258714,0.000296,vnd,best,['transpose'],random,
N-t70d11xx_150,6174178,4951210,0.000253,vnd,best,['transpose'],c_and_w,
N-t70d11xx_150,6174178,5913842,0.240128,vnd,best,['exchange'],random,
N-t70d11xx_150,6174178,5995063,0.309812,vnd,best,['exchange'],c_and_w,
N-t70d11xx_150,6174178,5953194,0.543462,vnd,best,['insert'],random,
N-t70d11xx_150,6174178,5978746,0.492517,vnd,best,['insert'],c_and_w,
N-t70f11xx_150,5150097,3241715,6.7e-05,vnd,first,['transpose'],random,
N-t70f11xx_150,5150097,4021334,5.8e-05,vnd,first,['transpose'],c_and_w,
N-t70f11xx_150,5150097,4944910,1.29675,vnd,first,['exchange'],random,
N-t70f11xx_150,5150097,4969149,0.913542,vnd,first,['exchange'],c_and_w,
N-t70f11xx_150,5150097,4960637,0.406299,vnd,first,['insert'],random,
N-t70f11xx_150,5150097,4916930,0.439899,vnd,first,['insert'],c_and_w,
N-t70f11xx_150,5150097,3248829,0.000173,vnd,best,['transpose'],random,
N-t70f11xx_150,5150097,4030582,0.000154,vnd,best,['transpose'],c_and_w,
N-t70f11xx_150,5150097,4932812,0.265902,vnd,best,['exchange'],random,
N-t70f11xx_150,5150097,4941562,0.282773,vnd,best,['exchange'],c_and_w,
N-t70f11xx_150,5150097,4934509,0.48853,vnd,best,['insert'],random,
N-t70f11xx_150,5150097,4978388,0.503486,vnd,best,['insert'],c_and_w,
N-t70l11xx_150,436862,271234,4.1e-05,vnd,first,['transpose'],random,
N-t70l11xx_150,436862,315411,2.6e-05,vnd,first,['transpose'],c_and_w,
N-t70l11xx_150,436862,422865,1.16032,vnd,first,['exchange'],random,
N-t70l11xx_150,436862,424741,1.35868,vnd,first,['exchange'],c_and_w,
N-t70l11xx_150,436862,413885,0.36069,vnd,first,['insert'],random,
N-t70l11xx_150,436862,422436,0.36484,vnd,first,['insert'],c_and_w,
N-t70l11xx_150,436862,271234,7.2e-05,vnd,best,['transpose'],random,
N-t70l11xx_150,436862,315420,6.9e-05,vnd,best,['transpose'],c_and_w,
N-t70l11xx_150,436862,419713,0.16878,vnd,best,['exchange'],random,
N-t70l11xx_150,436862,415976,0.249921,vnd,best,['exchange'],c_and_w,
N-t70l11xx_150,436862,415539,0.362501,vnd,best,['insert'],random,
N-t70l11xx_150,436862,419733,0.488199,vnd,best,['insert'],c_and_w,
N-t70n11xx_150,948913,593115,8.6e-05,vnd,first,['transpose'],random,
N-t70n11xx_150,948913,695177,5.2e-05,vnd,first,['transpose'],c_and_w,
N-t70n11xx_150,948913,917529,1.76465,vnd,first,['exchange'],random,
N-t70n11xx_150,948913,922011,1.21,vnd,first,['exchange'],c_and_w,
N-t70n11xx_150,948913,902156,0.43386,vnd,first,['insert'],random,
N-t70n11xx_150,948913,905879,0.416419,vnd,first,['insert'],c_and_w,
N-t70n11xx_150,948913,600050,0.000197,vnd,best,['transpose'],random,
N-t70n11xx_150,948913,695485,0.00014,vnd,best,['transpose'],c_and_w,
N-t70n11xx_150,948913,910062,0.30663,vnd,best,['exchange'],random,
N-t70n11xx_150,948913,913091,0.273385,vnd,best,['exchange'],c_and_w,
N-t70n11xx_150,948913,919986,0.586937,vnd,best,['insert'],random,
N-t70n11xx_150,948913,902292,0.555675,vnd,best,['insert'],c_and_w,
N-t74d11xx_150,9396044,6301767,9.6e-05,vnd,first,['transpose'],random,
N-t74d11xx_150,9396044,7500059,9.7e-05,vnd,first,['transpose'],c_and_w,
N-t74d11xx_150,9396044,9119373,1.622,vnd,first,['exchange'],random,
N-t74d11xx_150,9396044,9162763,1.34402,vnd,first,['exchange'],c_and_w,
N-t74d11xx_150,9396044,9083268,0.326192,vnd,first,['insert'],random,
N-t74d11xx_150,9396044,9069101,0.666618,vnd,first,['insert'],c_and_w,
N-t74d11xx_150,9396044,6323926,0.000199,vnd,best,['transpose'],random,
N-t74d11xx_150,9396044,7512478,0.000307,vnd,best,['transpose'],c_and_w,
N-t74d11xx_150,9396044,9024253,0.193831,vnd,best,['exchange'],random,
