instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t65f11xx_150,3159326,random,first,['transpose'],52582,9.9e-05,
N-t65f11xx_150,3159326,c_and_w,first,['transpose'],77398,0.0001,
N-t65f11xx_150,3159326,random,first,['exchange'],889195,1.85881,
N-t65f11xx_150,3159326,c_and_w,first,['exchange'],696159,1.41464,
N-t65f11xx_150,3159326,random,first,['insert'],886427,0.690656,
N-t65f11xx_150,3159326,c_and_w,first,['insert'],684524,0.644181,
N-t65f11xx_150,3159326,random,best,['transpose'],59136,0.000231,
N-t65f11xx_150,3159326,c_and_w,best,['transpose'],75346,0.000242,
N-t65f11xx_150,3159326,random,best,['exchange'],845732,0.388635,
N-t65f11xx_150,3159326,c_and_w,best,['exchange'],694096,0.37023,
N-t65f11xx_150,3159326,random,best,['insert'],868718,0.753606,
N-t65f11xx_150,3159326,c_and_w,best,['insert'],679356,0.588938,
N-t65l11xx_150,253396,random,first,['transpose'],7753,3.9e-05,
N-t65l11xx_150,253396,c_and_w,first,['transpose'],1878,2.6e-05,
N-t65l11xx_150,253396,random,first,['exchange'],123305,1.54418,
N-t65l11xx_150,253396,c_and_w,first,['exchange'],39866,1.12446,
N-t65l11xx_150,253396,random,first,['insert'],118755,0.402583,
N-t65l11xx_150,253396,c_and_w,first,['insert'],35406,0.379391,
N-t65l11xx_150,253396,random,best,['transpose'],7931,5.5e-05,
N-t65l11xx_150,253396,c_and_w,best,['transpose'],2779,7.5e-05,
N-t65l11xx_150,253396,random,best,['exchange'],120334,0.337372,
N-t65l11xx_150,253396,c_and_w,best,['exchange'],36641,0.309813,
N-t65l11xx_150,253396,random,best,['insert'],118062,0.663584,
N-t65l11xx_150,253396,c_and_w,best,['insert'],39002,0.652522,
N-t65n11xx_150,550733,random,first,['transpose'],5395,0.000131,
N-t65n11xx_150,550733,c_and_w,first,['transpose'],4982,6e-05,
N-t65n11xx_150,550733,random,first,['exchange'],198070,2.11637,
N-t65n11xx_150,550733,c_and_w,first,['exchange'],129849,1.31551,
N-t65n11xx_150,550733,random,first,['insert'],190034,0.478968,
N-t65n11xx_150,550733,c_and_w,first,['insert'],119583,0.588959,
N-t65n11xx_150,550733,random,best,['transpose'],8626,0.0002,
N-t65n11xx_150,550733,c_and_w,best,['transpose'],6063,0.000152,
N-t65n11xx_150,550733,random,best,['exchange'],193875,0.322311,
N-t65n11xx_150,550733,c_and_w,best,['exchange'],123098,0.303618,
N-t65n11xx_150,550733,random,best,['insert'],194465,0.66079,
N-t65n11xx_150,550733,c_and_w,best,['insert'],131383,0.737233,
N-t69r11xx_150,11855957,random,first,['transpose'],182967,7.6e-05,
N-t69r11xx_150,11855957,c_and_w,first,['transpose'],33118,0.000102,
N-t69r11xx_150,11855957,random,first,['exchange'],3930743,1.69063,
N-t69r11xx_150,11855957,c_and_w,first,['exchange'],2920068,1.57718,
N-t69r11xx_150,11855957,random,first,['insert'],3784855,0.362754,
N-t69r11xx_150,11855957,c_and_w,first,['insert'],2796574,0.529329,
N-t69r11xx_150,11855957,random,best,['transpose'],114063,0.000185,
N-t69r11xx_150,11855957,c_and_w,best,['transpose'],61613,0.000184,
N-t69r11xx_150,11855957,random,best,['exchange'],3922939,0.385574,
N-t69r11xx_150,11855957,c_and_w,best,['exchange'],2831084,0.373792,
N-t69r11xx_150,11855957,random,best,['insert'],3974776,0.785371,
N-t69r11xx_150,11855957,c_and_w,best,['insert'],2898929,0.811823,
N-t70b11xx_150,9647229,random,first,['transpose'],221935,8.3e-05,
N-t70b11xx_150,9647229,c_and_w,first,['transpose'],114261,7.9e-05,
N-t70b11xx_150,9647229,random,first,['exchange'],3404177,1.64532,
N-t70b11xx_150,9647229,c_and_w,first,['exchange'],2110411,1.90295,
N-t70b11xx_150,9647229,random,first,['insert'],3151215,0.58668,
N-t70b11xx_150,9647229,c_and_w,first,['insert'],1902209,0.661122,
N-t70b11xx_150,9647229,random,best,['transpose'],177910,0.000182,
N-t70b11xx_150,9647229,c_and_w,best,['transpose'],122230,0.000299,
N-t70b11xx_150,9647229,random,best,['exchange'],3304312,0.376366,
N-t70b11xx_150,9647229,c_and_w,best,['exchange'],2094667,0.35233,
N-t70b11xx_150,9647229,random,best,['insert'],3351529,0.740333,
N-t70b11xx_150,9647229,c_and_w,best,['insert'],2076482,0.787828,
N-t70d11xn_150,5825147,random,first,['transpose'],103670,0.00011,
N-t70d11xn_150,5825147,c_and_w,first,['transpose'],93502,0.000147,
N-t70d11xn_150,5825147,random,first,['exchange'],2127290,2.25488,
N-t70d11xn_150,5825147,c_and_w,first,['exchange'],1204528,1.70391,
N-t70d11xn_150,5825147,random,first,['insert'],2087197,0.639487,
N-t70d11xn_150,5825147,c_and_w,first,['insert'],1120948,0.673206,
N-t70d11xn_150,5825147,random,best,['transpose'],103550,0.000296,
N-t70d11xn_150,5825147,c_and_w,best,['transpose'],70810,0.000227,
N-t70d11xn_150,5825147,random,best,['exchange'],2077070,0.445882,
N-t70d11xn_150,5825147,c_and_w,best,['exchange'],1131637,0.4499,
N-t70d11xn_150,5825147,random,best,['insert'],2124829,0.707624,
N-t70d11xn_150,5825147,c_and_w,best,['insert'],1187077,0.626681,
N-t70d11xx_150,6174178,random,first,['transpose'],253083,0.000107,
N-t70d11xx_150,6174178,c_and_w,first,['transpose'],98160,0.000106,
N-t70d11xx_150,6174178,random,first,['exchange'],1938267,1.9856,
N-t70d11xx_150,6174178,c_and_w,first,['exchange'],1151579,1.858,
N-t70d11xx_150,6174178,random,first,['insert'],1907143,0.80042,
N-t70d11xx_150,6174178,c_and_w,first,['insert'],982905,0.880612,
N-t70d11xx_150,6174178,random,best,['transpose'],228368,0.000314,
N-t70d11xx_150,6174178,c_and_w,best,['transpose'],106053,0.000379,
N-t70d11xx_150,6174178,random,best,['exchange'],1883496,0.420392,
N-t70d11xx_150,6174178,c_and_w,best,['exchange'],1159666,0.417656,
N-t70d11xx_150,6174178,random,best,['insert'],1922848,0.739705,
N-t70d11xx_150,6174178,c_and_w,best,['insert'],1141944,0.690891,
N-t70f11xx_150,5150097,random,first,['transpose'],56909,9.5e-05,
N-t70f11xx_150,5150097,c_and_w,first,['transpose'],63043,7.7e-05,
N-t70f11xx_150,5150097,random,first,['exchange'],1760104,1.69115,
