algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,best,['insert'],c_and_w,N-be75eec_150,3239550,3381254,0.121722,
vnd,first,['transpose'],random,N-be75eec_150,1462697,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,1462697,2657351,3e-05,
vnd,first,['exchange'],random,N-be75eec_150,1462697,3396593,0.358076,
vnd,first,['exchange'],c_and_w,N-be75eec_150,1462697,3379429,0.299564,
vnd,first,['insert'],random,N-be75eec_150,1462697,3328604,0.124916,
vnd,first,['insert'],c_and_w,N-be75eec_150,1462697,3333196,0.128915,
vnd,best,['transpose'],random,N-be75eec_150,1462697,2182589,6.9e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,1462697,2660170,2.8e-05,
vnd,best,['exchange'],random,N-be75eec_150,1462697,3373535,0.07048,
vnd,best,['exchange'],c_and_w,N-be75eec_150,1462697,3346308,0.058027,
vnd,best,['insert'],random,N-be75eec_150,1462697,3369650,0.115602,
vnd,best,['insert'],c_and_w,N-be75eec_150,1462697,3381254,0.145268,
vnd,first,['transpose'],random,N-be75eec_150,1543733,2169797,1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,1543733,2657351,3.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,1543733,3396593,0.392469,
vnd,first,['exchange'],c_and_w,N-be75eec_150,1543733,3379429,0.291093,
vnd,first,['insert'],random,N-be75eec_150,1543733,3328604,0.127932,
vnd,first,['insert'],c_and_w,N-be75eec_150,1543733,3333196,0.134185,
vnd,best,['transpose'],random,N-be75eec_150,1543733,2182589,2.6e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,1543733,2660170,8.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,1543733,3373535,0.080562,
vnd,best,['exchange'],c_and_w,N-be75eec_150,1543733,3346308,0.065463,
vnd,best,['insert'],random,N-be75eec_150,1543733,3369650,0.12807,
vnd,best,['insert'],c_and_w,N-be75eec_150,1543733,3381254,0.120885,
vnd,first,['transpose'],random,N-be75eec_150,318960,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,318960,2657351,3.1e-05,
