instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t59b11xx_250,8411910,c_and_w,first,"['transpose', 'insert', 'exchange']",1482400,21.4629,
N-t59d11xx_250,3841167,c_and_w,first,"['transpose', 'exchange', 'insert']",674005,31.2021,
N-t59d11xx_250,3841167,c_and_w,first,"['transpose', 'insert', 'exchange']",638288,23.0025,
N-t59f11xx_250,3993006,c_and_w,first,"['transpose', 'exchange', 'insert']",817555,21.9159,
N-t59f11xx_250,3993006,c_and_w,first,"['transpose', 'insert', 'exchange']",814682,22.1609,
N-t59n11xx_250,825608,c_and_w,first,"['transpose', 'exchange', 'insert']",171861,31.3414,
N-t59n11xx_250,825608,c_and_w,first,"['transpose', 'insert', 'exchange']",157593,26.9175,
N-t65b11xx_250,17273996,c_and_w,first,"['transpose', 'exchange', 'insert']",3261635,32.6583,
N-t65b11xx_250,17273996,c_and_w,first,"['transpose', 'insert', 'exchange']",3082009,33.6082,
N-t65d11xx_250,9351696,c_and_w,first,"['transpose', 'exchange', 'insert']",1755732,32.575,
N-t65d11xx_250,9351696,c_and_w,first,"['transpose', 'insert', 'exchange']",1698906,26.9206,
N-t65f11xx_250,8409567,c_and_w,first,"['transpose', 'exchange', 'insert']",1732316,37.522,
N-t65f11xx_250,8409567,c_and_w,first,"['transpose', 'insert', 'exchange']",1660245,31.2379,
N-t65l11xx_250,666254,c_and_w,first,"['transpose', 'exchange', 'insert']",130061,19.8212,
N-t65l11xx_250,666254,c_and_w,first,"['transpose', 'insert', 'exchange']",125359,18.6567,
N-t65n11xx_250,1429362,c_and_w,first,"['transpose', 'exchange', 'insert']",307198,30.1777,
N-t65n11xx_250,1429362,c_and_w,first,"['transpose', 'insert', 'exchange']",283135,18.9239,
N-t69r11xx_250,31815927,c_and_w,first,"['transpose', 'exchange', 'insert']",7092117,35.503,
N-t69r11xx_250,31815927,c_and_w,first,"['transpose', 'insert', 'exchange']",6547850,25.4933,
N-t70b11xx_250,25403045,c_and_w,first,"['transpose', 'exchange', 'insert']",4995317,39.3019,
N-t70b11xx_250,25403045,c_and_w,first,"['transpose', 'insert', 'exchange']",4633384,27.1503,
N-t70d11xn_250,15207063,c_and_w,first,"['transpose', 'exchange', 'insert']",2700317,33.8815,
N-t70d11xn_250,15207063,c_and_w,first,"['transpose', 'insert', 'exchange']",2528297,25.0165,
N-t70d11xx_250,16040574,c_and_w,first,"['transpose', 'exchange', 'insert']",3064275,41.5115,
N-t70d11xx_250,16040574,c_and_w,first,"['transpose', 'insert', 'exchange']",2712640,25.9414,
N-t70f11xx_250,13586135,c_and_w,first,"['transpose', 'exchange', 'insert']",2757451,31.9898,
N-t70f11xx_250,13586135,c_and_w,first,"['transpose', 'insert', 'exchange']",2613916,21.4305,
N-t70l11xx_250,1113128,c_and_w,first,"['transpose', 'exchange', 'insert']",284899,30.8076,
N-t70l11xx_250,1113128,c_and_w,first,"['transpose', 'insert', 'exchange']",271738,21.765,
N-t70n11xx_250,2444390,c_and_w,first,"['transpose', 'exchange', 'insert']",524546,41.1713,
N-t70n11xx_250,2444390,c_and_w,first,"['transpose', 'insert', 'exchange']",455995,24.5847,
N-t74d11xx_250,24430250,c_and_w,first,"['transpose', 'exchange', 'insert']",4720546,40.3071,
N-t74d11xx_250,24430250,c_and_w,first,"['transpose', 'insert', 'exchange']",4416265,29.2736,
N-t75d11xx_250,25017059,c_and_w,first,"['transpose', 'exchange', 'insert']",4799074,40.9695,
N-t75d11xx_250,25017059,c_and_w,first,"['transpose', 'insert', 'exchange']",4573882,33.8762,
N-t75e11xx_250,106873878,c_and_w,first,"['transpose', 'exchange', 'insert']",23672053,42.6236,
N-t75e11xx_250,106873878,c_and_w,first,"['transpose', 'insert', 'exchange']",22655452,38.9525,
N-t75k11xx_250,4093849,c_and_w,first,"['transpose', 'exchange', 'insert']",824258,37.6388,
N-t75k11xx_250,4093849,c_and_w,first,"['transpose', 'insert', 'exchange']",768468,26.8975,
N-t75n11xx_250,4524942,c_and_w,first,"['transpose', 'exchange', 'insert']",978113,38.4876,
N-t75n11xx_250,4524942,c_and_w,first,"['transpose', 'insert', 'exchange']",912867,29.1201,
N-tiw56n54_250,2098726,c_and_w,first,"['transpose', 'exchange', 'insert']",404393,32.9505,
N-tiw56n54_250,2098726,c_and_w,first,"['transpose', 'insert', 'exchange']",408139,35.8273,
N-tiw56n58_250,2906657,c_and_w,first,"['transpose', 'exchange', 'insert']",526874,34.4276,
N-tiw56n58_250,2906657,c_and_w,first,"['transpose', 'insert', 'exchange']",504207,28.8474,
N-tiw56n62_250,4142745,c_and_w,first,"['transpose', 'exchange', 'insert']",737835,39.3654,
N-tiw56n62_250,4142745,c_and_w,first,"['transpose', 'insert', 'exchange']",688132,30.6597,
N-tiw56n66_250,5370404,c_and_w,first,"['transpose', 'exchange', 'insert']",958609,32.653,
N-tiw56n66_250,5370404,c_and_w,first,"['transpose', 'insert', 'exchange']",919403,27.2774,
N-tiw56n67_250,6324858,c_and_w,first,"['transpose', 'exchange', 'insert']",1147982,36.1511,
N-tiw56n67_250,6324858,c_and_w,first,"['transpose', 'insert', 'exchange']",1117814,34.3781,
N-tiw56n72_250,11149706,c_and_w,first,"['transpose', 'exchange', 'insert']",2007594,34.0307,
N-tiw56n72_250,11149706,c_and_w,first,"['transpose', 'insert', 'exchange']",1882407,26.6965,
N-tiw56r54_250,2387349,c_and_w,first,"['transpose', 'exchange', 'insert']",483484,33.2459,
N-tiw56r54_250,2387349,c_and_w,first,"['transpose', 'insert', 'exchange']",437059,27.1069,
N-tiw56r58_250,3060323,c_and_w,first,"['transpose', 'exchange', 'insert']",536679,29.6537,
N-tiw56r58_250,3060323,c_and_w,first,"['transpose', 'insert', 'exchange']",494401,24.2704,
N-tiw56r66_250,4948414,c_and_w,first,"['transpose', 'exchange', 'insert']",877940,29.9229,
N-tiw56r66_250,4948414,c_and_w,first,"['transpose', 'insert', 'exchange']",824444,22.4541,
N-tiw56r67_250,5289658,c_and_w,first,"['transpose', 'exchange', 'insert']",895780,26.1646,
N-tiw56r67_250,5289658,c_and_w,first,"['transpose', 'insert', 'exchange']",858172,21.6712,
N-tiw56r72_250,7451579,c_and_w,first,"['transpose', 'exchange', 'insert']",1406067,27.7176,
N-tiw56r72_250,7451579,c_and_w,first,"['transpose', 'insert', 'exchange']",1290349,22.3317,
