instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t75e11xx_150,41570193,random,best,['insert'],13996595,1.8982,
N-t75e11xx_150,41570193,c_and_w,best,['insert'],8980053,1.73123,
N-t75k11xx_150,1541596,random,first,['transpose'],16955,0.00502,
N-t75k11xx_150,1541596,c_and_w,first,['transpose'],18479,0.00426,
N-t75k11xx_150,1541596,random,first,['exchange'],520718,2.6006,
N-t75k11xx_150,1541596,c_and_w,first,['exchange'],389611,2.5487,
N-t75k11xx_150,1541596,random,first,['insert'],489386,1.4855,
N-t75k11xx_150,1541596,c_and_w,first,['insert'],362193,2.07124,
N-t75k11xx_150,1541596,random,best,['transpose'],26802,0.005932,
N-t75k11xx_150,1541596,c_and_w,best,['transpose'],16634,0.005272,
N-t75k11xx_150,1541596,random,best,['exchange'],503672,0.536742,
N-t75k11xx_150,1541596,c_and_w,best,['exchange'],353033,0.49457,
N-t75k11xx_150,1541596,random,best,['insert'],519570,1.79171,
N-t75k11xx_150,1541596,c_and_w,best,['insert'],382593,1.81106,
N-t75n11xx_150,1743094,random,first,['transpose'],22907,0.004118,
N-t75n11xx_150,1743094,c_and_w,first,['transpose'],17863,0.004258,
N-t75n11xx_150,1743094,random,first,['exchange'],623502,2.58902,
N-t75n11xx_150,1743094,c_and_w,first,['exchange'],405430,2.00313,
N-t75n11xx_150,1743094,random,first,['insert'],607692,2.11397,
N-t75n11xx_150,1743094,c_and_w,first,['insert'],403509,2.26257,
N-t75n11xx_150,1743094,random,best,['transpose'],23482,0.005052,
N-t75n11xx_150,1743094,c_and_w,best,['transpose'],21556,0.005289,
N-t75n11xx_150,1743094,random,best,['exchange'],605439,0.394116,
N-t75n11xx_150,1743094,c_and_w,best,['exchange'],408064,0.523442,
N-t75n11xx_150,1743094,random,best,['insert'],624469,1.77256,
N-t75n11xx_150,1743094,c_and_w,best,['insert'],416865,1.99228,
N-tiw56n54_150,837945,random,first,['transpose'],17308,0.005876,
N-tiw56n54_150,837945,c_and_w,first,['transpose'],15937,0.005673,
N-tiw56n54_150,837945,random,first,['exchange'],250667,2.17564,
N-tiw56n54_150,837945,c_and_w,first,['exchange'],166754,1.87128,
N-tiw56n54_150,837945,random,first,['insert'],239825,2.00383,
N-tiw56n54_150,837945,c_and_w,first,['insert'],163639,2.04954,
N-tiw56n54_150,837945,random,best,['transpose'],17100,0.004628,
N-tiw56n54_150,837945,c_and_w,best,['transpose'],17495,0.004917,
N-tiw56n54_150,837945,random,best,['exchange'],245369,0.587565,
N-tiw56n54_150,837945,c_and_w,best,['exchange'],163628,0.467798,
N-tiw56n54_150,837945,random,best,['insert'],248853,2.17615,
N-tiw56n54_150,837945,c_and_w,best,['insert'],165365,1.85529,
N-tiw56n58_150,1155392,random,first,['transpose'],28806,0.00654,
N-tiw56n58_150,1155392,c_and_w,first,['transpose'],18911,0.005115,
N-tiw56n58_150,1155392,random,first,['exchange'],411323,1.7548,
N-tiw56n58_150,1155392,c_and_w,first,['exchange'],227292,1.67153,
N-tiw56n58_150,1155392,random,first,['insert'],424381,1.91508,
N-tiw56n58_150,1155392,c_and_w,first,['insert'],204048,2.03757,
N-tiw56n58_150,1155392,random,best,['transpose'],45640,0.007802,
N-tiw56n58_150,1155392,c_and_w,best,['transpose'],16948,0.005667,
N-tiw56n58_150,1155392,random,best,['exchange'],408730,0.533154,
N-tiw56n58_150,1155392,c_and_w,best,['exchange'],203175,0.451967,
N-tiw56n58_150,1155392,random,best,['insert'],413466,2.00624,
N-tiw56n58_150,1155392,c_and_w,best,['insert'],221853,1.32037,
N-tiw56n62_150,1626921,random,first,['transpose'],40848,0.005788,
N-tiw56n62_150,1626921,c_and_w,first,['transpose'],31406,0.005731,
N-tiw56n62_150,1626921,random,first,['exchange'],556790,2.2609,
N-tiw56n62_150,1626921,c_and_w,first,['exchange'],336075,2.08828,
N-tiw56n62_150,1626921,random,first,['insert'],537063,1.92509,
